16進位制	16进位制
保鑣	保镖
保障著	保障着
保障著作	保障著作
保障著名	保障著名
保障著称	保障著称
保障著稱	保障著称
保障著者	保障著者
保障著述	保障著述
資訊時代	信息时代
資訊理論	信息论
信著	信着
信著《	信著《
信著作	信著作
信著名	信著名
信著称	信著称
信著稱	信著称
信著述	信著述
伏地挺身	俯卧撑
掌上壓	俯卧撑
倒帳	倒账
候著	候着
候著作	候著作
候著名	候著名
候著稱	候著称
候著述	候著述
倚著	倚着
借著	借着
藉著	借着
借著作	借著作
借著名	借著名
借著錄	借著录
借著稱	借著称
借著述	借著述
假帳	假账
做著	做着
做著作	做著作
做著名	做著名
做著稱	做著称
偷著	偷着
偷著作	偷著作
偷著名	偷著名
偷著稱	偷著称
傅利葉	傅里叶
光著	光着
光著《	光著《
光著作	光著作
光著名	光著名
光著称	光著称
光著稱	光著称
光著述	光著述
光碟機	光驱
柯林頓	克林顿
克羅埃西亞	克罗地亚
轉殖	克隆
複製人	克隆人
入帳	入账
八進位制	八进位制
八進位	八进制
西元1	公元1
西元2	公元2
西元3	公元3
西元4	公元4
西元5	公元5
西元6	公元6
西元7	公元7
西元8	公元8
西元9	公元9
西元前	公元前
公帳	公账
六進位制	六进位制
六進位	六进制
關著	关着
關係著	关系着
關著書	关著书
關著作	关著作
關著名	关著名
關著錄	关著录
關著稱	关著称
關著者	关著者
關著述	关著述
關帳	关账
記憶體	内存
奈洛比	内罗毕
甘比亞	冈比亚
冒著	冒着
冒著作	冒著作
冒著名	冒著名
冒著稱	冒著称
寫著	写着
寫著作	写著作
寫著名	写著名
寫著錄	写著录
寫著稱	写著称
寫著述	写著述
沖著	冲着
衝著	冲着
沖著。	冲著。
沖著《	冲著《
沖著（	冲著（
沖著，	冲著，
沖帳	冲账
涼著	凉着
涼著作	凉著作
涼著名	凉著名
涼著稱	凉著称
湊合著	凑合着
畿內亞	几内亚
幾內亞比索	几内亚比绍
機率	几率
憑著	凭着
憑著作	凭著作
憑著名	凭著名
憑著者	凭著者
凱薩琳	凯瑟琳
嘉芙蓮	凯瑟琳
份內	分内
份外	分外
分佈著	分布着
分布著	分布着
解像度	分辨率
解析度	分辨率
份量	分量
車諾比	切尔诺贝利
劃著	划着
李奧納多	列奥那多
列支敦斯登	列支敦士登
賴比瑞亞	利比里亚
別著	别着
刮著	刮着
颳著	刮着
到帳	到账
制著	制着
制著作	制著作
制著名	制著名
制著稱	制著称
制著述	制著述
煞車	刹车
刻著	刻着
刻著作	刻著作
刻著名	刻著名
刻著称	刻著称
刻著稱	刻著称
前波莫瑞	前波美拉尼亚
辦著	办着
辦著作	办著作
辦著名	办著名
辦著稱	办著称
加薩走廊	加沙地带
加泰隆尼亞	加泰罗尼亚
迦納	加纳
加彭	加蓬
動著	动着
動著作	动著作
動著名	动著名
動著稱	动著称
努力著	努力着
努力著書	努力著书
努力著作	努力著作
努力著名	努力著名
努力著称	努力著称
努力著稱	努力著称
努力著述	努力著述
諾克少	努瓦克肖特
蘿拉	劳拉
布蘭登堡	勃兰登堡
白朗寧	勃朗宁
包著	包着
十進位制	十进位制
十進位	十进制
公升	升
單眼相機	单反相机
單鏡反光機	单反相机
南西·裴洛西	南希·佩洛西
蘭茜·佩洛西	南希·佩洛西
南斯拉夫聯邦共和國	南斯拉夫联盟共和国
波索納洛	博索纳罗
波札那	博茨瓦纳
占著	占着
占著作	占著作
占著名	占著名
喀拉蚩	卡拉奇
卡斯楚	卡斯特罗
卡佩雅蒂	卡普里亚蒂
盧安達	卢旺达
羅浮宮	卢浮宫
羅亞爾	卢瓦尔
印著	印着
印著《	印著《
印著作	印著作
印著名	印著名
印著錄	印著录
印著稱	印著称
印著述	印著述
瓜地馬拉	危地马拉
聖嬰現象	厄尔尼诺现象
厄瓜多	厄瓜多尔
厄瓜多尔	厄瓜多尔
厄瓜多爾	厄瓜多尔
厄利垂亚	厄立特里亚
厄利垂亞	厄立特里亚
厄立特里亞	厄立特里亚
壓著	压着
壓著作	压著作
壓著名	压著名
壓著稱	压著称
發著	发着
發著《	发著《
發著作	发著作
發著名	发著名
發著稱	发著称
受著	受着
受著作	受著作
受著名	受著名
受著稱	受著称
受著述	受著述
變著	变着
變著作	变著作
變著名	变著名
變著稱	变著称
變著述	变著述
衹	只
隻字片語	只字片语
隻言片語	只言片语
唯讀	只读
叫著	叫着
叫著作	叫著作
叫著名	叫著名
叫著稱	叫著称
桌上型電腦	台式电脑
撞球	台球
台帳	台账
叱吒	叱咤
吃著	吃着
結他	吉他
健力士世界紀錄	吉尼斯世界纪录
金氏世界紀錄	吉尼斯世界纪录
吉布地	吉布提
吊著	吊着
名份	名分
向著	向着
向著書	向著书
向著作	向著作
向著名	向著名
向著稱	向著称
向著者	向著者
向著述	向著述
含著	含着
含著作	含著作
含著名	含著名
含著稱	含著称
含著述	含著述
聽著	听着
聽著作	听著作
聽著名	听著名
聽著稱	听著称
聽著述	听著述
吹著	吹着
吹著作	吹著作
吹著名	吹著名
吹著稱	吹著称
呆著	呆着
呆帳	呆账
味著	味着
味著作	味著作
味著名	味著名
味著称	味著称
味著稱	味著称
咖哩	咖喱
諮	咨
咬著	咬着
響著	响着
響著作	响著作
響著名	响著名
響著稱	响著称
哥斯大黎加	哥斯达黎加
哥德式	哥特式
哭著	哭着
哭著作	哭著作
哭著名	哭著名
哭著稱	哭著称
唐納·川普	唐纳德·特朗普
當勞·特朗普	唐纳德·特朗普
當奴·特朗普	唐纳德·特朗普
唱著	唱着
唱著作	唱著作
唱著名	唱著名
唱著稱	唱著称
啸吒	啸咤
喊著	喊着
喜歡著	喜欢着
喝著	喝着
喝著作	喝著作
喝著名	喝著名
喝著稱	喝著称
嗅著	嗅着
雜訊	噪声
嚷著	嚷着
嚷著作	嚷著作
嚷著名	嚷著名
嚷著稱	嚷著称
回著	回着
回著名	回著名
因著	因着
因著〈	因著〈
因著《	因著《
因著作	因著作
因著名	因著名
因著录	因著录
因著稱	因著称
因著述	因著述
困著	困着
困著作	困著作
困著名	困著名
困著稱	困著称
圍著	围着
圍著作	围著作
圍著名	围著名
圍著稱	围著称
韌體	固件
固著	固着
西洋棋	国际象棋
土魯斯	图卢兹
吐瓦魯	图瓦卢
原子筆	圆珠笔
聖佐治	圣乔治
汕埠	圣佩德罗苏拉
聖露西亞	圣卢西亚
聖地牙哥	圣地亚哥
聖克里斯多福及尼維斯	圣基茨和尼维斯
聖吉斯納域斯	圣基茨和尼维斯
聖多美普林西比	圣多美和普林西比
聖文森及格瑞那丁	圣文森特和格林纳丁斯
聖文森國	圣文森特和格林纳丁斯
聖馬利諾	圣马力诺
在等著	在等着
蓋亞那	圭亚那
坐著	坐着
坐著書	坐著书
坐著作	坐著作
坐著名	坐著名
坐著稱	坐著称
坚杜拜	坚杜拜
堅杜拜	坚杜拜
堅貞著	坚贞着
坦尚尼亞	坦桑尼亚
伊波拉	埃博拉
衣索匹亞	埃塞俄比亚
衣索比亞	埃塞俄比亚
艾菲爾	埃菲尔
葉里溫	埃里温
埋著	埋着
功能變數名稱	域名
網域名稱	域名
蓋達組織	基地组织
阿爾蓋達組織	基地组织
吉里巴斯	基里巴斯
堂姊	堂姐
菫	堇
坎培拉	堪培拉
塑膠袋	塑料袋
塞爾維亞與蒙特內哥羅	塞尔维亚和黑山
獅子山共和國	塞拉利昂共和国
塞普勒斯	塞浦路斯
賽普勒斯	塞浦路斯
塞維亞	塞维利亚
西維爾	塞维利亚
塞席爾	塞舌尔
音效卡	声卡
備著	备着
備著作	备著作
備著名	备著名
備著稱	备著称
備著述	备著述
外部連結	外部链接
托巴哥	多巴哥
都卜勒	多普勒
玻利維亞多民族國	多民族玻利维亚国
多明尼加	多米尼加
大姊	大姐
大姊姊	大姐姐
大寮	大寮
天份	天分
太陽電腦	太阳微系统
昇陽電腦	太阳微系统
夾著	夹着
夾著作	夹著作
夾著名	夹著名
夾著稱	夹著称
賓士	奔驰
歐巴馬	奥巴马
奧拉夫·蕭茲	奥拉夫·朔尔茨
柯德莉·夏萍	奥黛丽·赫本
奧塞提亞	奧塞梯
忌廉	奶油
荷里活	好莱坞
姊夫	姐夫
姊姊	姐姐
姊弟	姐弟
威爾斯	威尔士
威斯伐倫	威斯特法伦
字型大小	字号
欄位	字段
位元組	字节
存在著	存在着
存著	存着
存著作	存著作
存著名	存著名
學姊	学姐
學著	学着
學著書	学著书
學著作	学著作
學著名	学著名
學著稱	学著称
學著述	学著述
太空飛行員	宇航员
太空衣	宇航服
守著	守着
守著作	守著作
守著名	守著名
守著称	守著称
守著稱	守著称
守著述	守著述
安哈特	安哈尔特
安地卡	安提瓜
安地卡及巴布達	安提瓜和巴布达
巨集	宏
定著	定着
定著《	定著《
定著作	定著作
定著名	定著名
定著称	定著称
定著稱	定著称
定著述	定著述
波里活	宝莱坞
宣告著	宣告着
宿霧	宿务
密执安	密歇根
密西根	密歇根
對著	对着
對著書	对著书
對著作	对著作
對著名	对著名
對著錄	对著录
對著稱	对著称
對著者	对著者
對著述	对著述
對帳	对账
尋著	寻着
尋著作	寻著作
尋著名	寻著名
尋著稱	寻著称
尋著述	寻著述
飛彈	导弹
尊敬著	尊敬着
祖雲達斯	尤文图斯
就等著	就等着
奈及利亞	尼日利亚
尼日共和國	尼日尔共和国
區域網	局域网
區域網路	局域网络
展著	展着
展著《	展著《
展著作	展著作
展著名	展著名
展著稱	展著称
展著述	展著述
鉅變	巨变
瓦倫西亞	巴伦西亚
華倫西亞	巴伦西亚
峇里	巴厘
巴塞隆拿	巴塞罗那
巴塞隆納	巴塞罗那
巴斯拉	巴士拉
帕邁拉環礁	巴尔米拉环礁
巴貝多	巴巴多斯
布殊	布什
布吉納法索	布基纳法索
布拉提斯拉瓦	布拉迪斯拉发
布隆泉	布隆方丹
蒲隆地	布隆迪
希冀著	希冀着
席哈克	希拉克
希拉莉	希拉里
希拉蕊	希拉里
希特拉	希特勒
帛琉	帕劳
派屈克	帕特里克
頻寬	带宽
帶著	带着
帶著作	带著作
帶著名	带著名
帶著稱	带著称
帶著述	带著述
幫著	帮着
幫著作	帮著作
幫著名	帮著名
幫著稱	帮著称
幫著述	帮著述
乾姊	干姐
幹著	干着
幹著名	幹著名
幹著稱	幹著称
庇護著	庇护着
庫德人	库尔德人
庫德斯坦	库尔德斯坦
庫德族	库尔德族
應用程式	应用程序
應著	应着
應著作	应著作
應著名	应著名
應著稱	应著称
應著述	应著述
建帳	建账
克卜勒	开普勒
開機率	开机率
開著	开着
開著書	开著书
開著作	开著作
開著名	开著名
開著稱	开著称
開著述	开著述
開帳	开账
非同步	异步
若且唯若	当且仅当
當著	当着
當著書	当著书
當著作	当著作
當著名	当著名
當著稱	当著称
當著者	当著者
當著述	当著述
錄影帶	录像带
形上學	形而上学
澈底	彻底
逕入	径入
逕到	径到
逕取	径取
逕啟	径启
逕寄	径寄
逕庭	径庭
逕往	径往
逕流	径流
逕自	径自
逕行	径行
逕迎	径迎
待著	待着
待著作	待著作
待著名	待著名
待著稱	待著称
待著述	待著述
得著	得着
得著書	得著书
得著作	得著作
得著名	得著名
得著錄	得著录
得著稱	得著称
得著者	得著者
得著述	得著述
御姊	御姐
迴圈	循环
循著	循着
循著作	循著作
循著名	循著名
循著稱	循著称
循著述	循著述
聶斯特河	德涅斯特河
迪特里克堡	德特里克堡
德勒斯登	德累斯顿
德希達	德里达
心著	心着
心著《	心著《
心著書	心著书
心著作	心著作
心著名	心著名
心著称	心著称
心著稱	心著称
心著述	心著述
忍著	忍着
忍著作	忍著作
忍著名	忍著名
忍著稱	忍著称
忙著	忙着
忙著作	忙著作
忙著名	忙著名
忙著稱	忙著称
忙著述	忙著述
忠貞著	忠贞着
懷著	怀着
懷著《	怀著《
懷著作	怀著作
懷著名	怀著名
懷著稱	怀著称
懷著述	怀著述
急著	急着
急著作	急著作
急著名	急著名
急著稱	急著称
匯流排	总线
總帳	总账
戀著	恋着
戀著作	恋著作
戀著名	恋著名
戀著稱	恋著称
恩將納	恩贾梅纳
恰如其份	恰如其分
悠著	悠着
悠著作	悠著作
悠著名	悠著名
悠著稱	悠著称
情境喜劇	情景喜剧
處境喜劇	情景喜剧
慣著	惯着
慣著作	惯著作
慣著名	惯著名
慣著稱	惯著称
想著	想着
想著作	想著作
想著名	想著名
想著称	想著称
想著稱	想著称
想著述	想著述
義大利	意大利
義裔	意裔
戈巴契夫	戈尔巴乔夫
成份股	成份股
成份	成分
戰著	战着
戰著作	战著作
戰著名	战著名
戰著稱	战著称
坎城	戛纳
黛安娜	戴安娜
戴著	戴着
戴著作	戴著作
戴著名	戴著名
戴著稱	戴著称
索羅門群島	所罗门群岛
扎著	扎着
紮著	扎着
扎著。	扎著。
扎著《	扎著《
紮著作	扎著作
紮著名	扎著名
紮著稱	扎著称
扎著（	扎著（
扎著，	扎著，
列印	打印
印表機	打印机
打著	打着
打著作	打著作
打著名	打著名
打著稱	打著称
扛著	扛着
扛著作	扛著作
扛著名	扛著名
扛著稱	扛著称
掃瞄	扫描
掃瞄器	扫描仪
抓著	抓着
抓著作	抓著作
抓著名	抓著名
抓著稱	抓著称
投機份子	投机分子
搶著	抢着
護著	护着
護著作	护著作
護著名	护著名
護著稱	护著称
護著述	护著述
報帳	报账
披頭四	披头士
披著	披着
披著作	披著作
披著名	披著名
披著稱	披著称
抬著	抬着
抬著作	抬著作
抬著名	抬著名
抬著稱	抬著称
抱著	抱着
抱著作	抱著作
抱著名	抱著名
抱著稱	抱著称
擔著	担着
拉著	拉着
拉著作	拉著作
拉著名	拉著名
拉著稱	拉著称
拎著	拎着
拎著作	拎著作
拎著名	拎著名
拎著稱	拎著称
拖著	拖着
拖著作	拖著作
拖著名	拖著名
拖著稱	拖著称
拼著	拼着
拼著作	拼著作
拼著名	拼著名
拼著稱	拼著称
拿著	拿着
拿著作	拿著作
拿著名	拿著名
拿著稱	拿著称
持著	持着
持著作	持著作
持著名	持著名
持著稱	持著称
掛著	挂着
挑著	挑着
挑著作	挑著作
挑著名	挑著名
挑著稱	挑著称
擋著	挡着
擋著作	挡著作
擋著名	挡著名
擋著稱	挡著称
掙著	挣着
掙著作	挣著作
掙著名	挣著名
掙著稱	挣著称
揮著	挥着
揮著作	挥著作
揮著名	挥著名
揮著稱	挥著称
挨著	挨着
挨著作	挨著作
挨著名	挨著名
挨著稱	挨著称
捆著	捆着
捆著作	捆著作
捆著名	捆著名
捆著稱	捆著称
據著	据着
據著作	据著作
據著名	据著名
據著稱	据著称
積架	捷豹
掖著	掖着
掖著作	掖著作
掖著名	掖著名
掖著稱	掖著称
接著	接着
接著作	接著作
接著名	接著名
接著稱	接著称
控制項	控件
揉著	揉着
揉著作	揉著作
揉著名	揉著名
揉著稱	揉著称
提著	提着
提著作	提著作
提著名	提著名
提著稱	提著称
外掛程式	插件
握著	握着
握著作	握著作
握著名	握著名
摟著	搂着
摟著作	搂著作
摟著名	搂著名
摟著稱	搂著称
搜尋引擎	搜索引擎
擺著	摆着
擺著作	摆著作
擺著名	摆著名
擺著稱	摆著称
電單車	摩托车
摸著	摸着
撑著	撑着
戴卓爾	撒切尔
柴契爾	撒切尔
播著	播着
撼著	撼着
撼著作	撼著作
撼著名	撼著名
撼著稱	撼著称
作業系統	操作系统
收錄著	收录着
收帳	收账
放著	放着
放著作	放著作
放著名	放著名
放著称	放著称
放著稱	放著称
放帳	放账
敞著	敞着
敞著作	敞著作
敞著名	敞著名
敞著稱	敞著称
散佈著	散布着
散布著	散布着
數位訊號	数字信号
數碼訊號	数字信号
數位化	数字化
數位技術	数字技术
數位電視	数字电视
數碼電視	数字电视
數位音樂	数字音乐
資料庫	数据库
數著	数着
數位照相機	数码照相机
數位相機	数码相机
數著作	数著作
數著名	数著名
數著稱	数著称
數著述	数著述
敲著	敲着
汶萊	文莱
鬥著	斗着
鬥著作	斗著作
鬥著名	斗著名
鬥著稱	斗著称
斥著	斥着
斥著作	斥著作
斥著名	斥著名
斥著稱	斥著称
史丹福大學	斯坦福大学
斯堪地那維亞	斯堪的纳维亚
史達林	斯大林
史瓦帝尼	斯威士兰
史瓦濟蘭	斯威士兰
斯洛維尼亞	斯洛文尼亚
史特勞斯	斯特劳斯
史高比耶	斯科普里
司諾克	斯诺克
士碌架	斯诺克
紐幾內亞	新几内亚
紐澤西	新泽西
紐西蘭	新西兰
舊帳	旧账
三藩市	旧金山
昂山素姬	昂山素季
翁山蘇姬	昂山素季
昂著	昂着
昂著作	昂著作
昂著名	昂著名
昂著稱	昂著称
明白帳	明白账
映著	映着
映著作	映著作
映著名	映著名
映著稱	映著称
顯示卡	显卡
显著	显著
顯著	显著
晃著	晃着
晃著作	晃著作
晃著名	晃著名
晃著稱	晃著称
普利茲	普利策
普立茲獎	普利策奖
蒲美蓬	普密蓬
蒲朗克	普朗克
電晶體	晶体管
智慧型	智能
智慧卡	智能卡
智慧手機	智能手机
智慧機器人	智能机器人
暗著	暗着
暗著作	暗著作
暗著名	暗著名
暗著稱	暗著称
有著	有着
有著書	有著书
有著作	有著作
有著名	有著名
有著錄	有著录
有著稱	有著称
有著者	有著者
有著述	有著述
伺服器	服务器
望著	望着
望著作	望著作
望著名	望著名
望著稱	望著称
望著述	望著述
朝著	朝着
朝著作	朝著作
朝著名	朝著名
朝著稱	朝著称
朝著述	朝著述
韓戰	朝鲜战争
尾班車	末班车
賓·拉登	本·拉登
本份	本分
賓拉登	本拉登
本本份份	本本分分
班傑明	本杰明
本著	本着
本著書	本著书
本著作	本著作
本著名	本著名
本著錄	本著录
本著稱	本著称
本著者	本著者
本著述	本著述
本帳	本账
班傑明·內塔尼亞胡	本雅明·内塔尼亚胡
班傑明·納坦雅胡	本雅明·内塔尼亚胡
樸茨茅夫	朴茨茅斯
機械人	机器人
工具機	机床
殺著	杀着
殺著作	杀著作
殺著名	杀著名
殺著稱	杀著称
雜著	杂着
雜著作	杂著作
雜著名	杂著名
雜著稱	杂著称
雜著述	杂著述
杜塞道夫	杜塞尔多夫
束著	束着
來著	来着
來著作	来著作
來著名	来著名
來著稱	来著称
來著述	来著述
板著臉	板着脸
枕著	枕着
枕著作	枕著作
枕著名	枕著名
枕著稱	枕著称
槍枝	枪支
柏林圍牆	柏林墙
查帳	查账
查維茲	查韦斯
標志著	标志着
標誌著	标志着
格仔山	格仔山
格仔	格子
格瑞那丁	格林纳丁斯
格瑞那達	格林纳达
格林美獎	格莱美奖
葛萊美獎	格莱美奖
喬治亞字母	格鲁吉亚字母
喬治亞語	格鲁吉亚语
森巴舞	桑巴舞
梅赫西迪	梅赛德斯
夢著	梦着
夢著《	梦著《
夢著作	梦著作
夢著名	梦著名
夢著稱	梦著称
夢著述	梦著述
梳著	梳着
梳著作	梳著作
梳著名	梳著名
梳著稱	梳著称
梵谷	梵高
欠帳	欠账
正等著	正等着
死帳	死账
帕運	残奥
帕拉林匹克	残疾人奥林匹克
庇里牛斯	比利牛斯
普利托利亞	比勒陀利亚
披索	比索
畢卡索	毕加索
茅利塔尼亞	毛里塔尼亚
模里西斯	毛里求斯
毛里裘斯	毛里求斯
公厘	毫米
公釐	毫米
氧份	氧分
胺基酸	氨基酸
水份	水分
水氣	水汽
求著	求着
求著書	求著书
求著作	求著作
求著名	求著名
求著稱	求著称
求著述	求著述
漢諾瓦	汉诺威
東加王國	汤加王国
沈著	沉着
沉著	沉着
沉著作	沉著作
沉著名	沉著名
沉著稱	沉著称
沙烏地	沙特
沙地阿拉伯	沙特阿拉伯
沿著	沿着
沿著作	沿著作
沿著名	沿著名
沿著稱	沿著称
沿著述	沿著述
玻里尼西亞	波利尼西亚
波士尼亞	波斯尼亚
波士尼亞與赫塞哥維納	波斯尼亚和黑塞哥维那
鐵達尼號	泰坦尼克号
幫浦	泵
澤倫斯基	泽连斯基
蘿莉塔	洛丽塔
辛巴威	津巴布韦
宏都拉斯	洪都拉斯
活著	活着
活著作	活著作
活著名	活著名
活著稱	活著称
活著述	活著述
流水帳	流水账
流著	流着
流著作	流著作
流著名	流著名
流著稱	流著称
流著述	流著述
流露著	流露着
浮著	浮着
蘭卡威	浮罗交怡
浮著作	浮著作
浮著名	浮著名
浮著稱	浮著称
浮著述	浮著述
海洛英	海洛因
海浬	海里
塗著	涂着
潤著	润着
潤著作	润著作
潤著名	润著名
潤著稱	润著称
潤著述	润著述
混著	混着
混帳	混账
清澈	清澈
清帳	清账
溫荷克	温得和克
渴著	渴着
渴著作	渴著作
渴著名	渴著名
渴著稱	渴著称
原始碼	源代码
溢著	溢着
溢著作	溢著作
溢著名	溢著名
溢著稱	溢著称
滑鼠蛇	滑鼠蛇
滿16進位	满16进位
滿二進位	满二进位
滿八進位	满八进位
滿六進位	满六进位
滿十六進位	满十六进位
滿十進位	满十进位
滿著	满着
滿著作	满著作
滿著名	满著名
演著	演着
演著作	演著作
演著名	演著名
演著稱	演著称
演著述	演著述
漫著	漫着
漫著作	漫著作
漫著名	漫著名
漫著稱	漫著称
漫著述	漫著述
潮寮	潮寮
雷射	激光
點著	点着
點著作	点著作
點著名	点著名
點著稱	点著称
點著述	点著述
爛帳	烂账
燒著	烧着
燒著作	烧著作
燒著名	烧著名
燒著稱	烧著称
照著	照着
照著作	照著作
照著名	照著名
照著稱	照著称
愛護著	爱护着
愛著	爱着
愛著書	爱著书
愛著作	爱著作
愛著名	爱著名
愛著稱	爱著称
愛著述	爱著述
牽著	牵着
牽著作	牵著作
牽著名	牵著名
牽著稱	牵著称
千里達	特立尼达
千里達及托巴哥	特立尼达和多巴哥
德蕾莎·梅伊	特蕾莎·梅
文翠珊	特蕾莎·梅
狗隻	犬只
猶豫著	犹豫着
獨立國家國協	独立国家联合体
獨立國協	独联体
猜著	猜着
猜著作	猜著作
猜著名	猜著名
猜著稱	猜著称
玩著	玩着
班固著	班固著
諾魯	瑙鲁
溫納圖	瓦努阿图
萬那杜	瓦努阿图
華勒沙	瓦文萨
華里沙	瓦文萨
甜著	甜着
甜著作	甜著作
甜著名	甜著名
甜著稱	甜著称
用著	用着
用著書	用著书
用著作	用著作
用著名	用著名
用著稱	用著称
用著者	用著者
用著述	用著述
A型肝炎	甲型肝炎
A肝	甲肝
電視劇集	电视剧
電視影集	电视系列剧
畫著	画着
畫著作	画著作
畫著名	画著名
畫著稱	画著称
介面	界面
留尼旺	留尼汪
留著	留着
留著作	留著作
留著名	留著名
留著稱	留著称
留著述	留著述
疑著	疑着
疑著作	疑著作
疑著名	疑著名
疑著稱	疑著称
疑著述	疑著述
狂牛症	疯牛病
瘋牛症	疯牛病
徵狀	症状
百慕達	百慕大
皮雅斯·布士南	皮尔斯·布鲁斯南
皺著	皱着
皺著作	皱著作
皺著名	皱著名
皺著稱	皱著称
鹽份	盐分
蓋著	盖着
蓋著作	盖著作
蓋著名	盖著名
蓋著稱	盖著称
盛著	盛着
盛著作	盛著作
盛著名	盛著名
盛著稱	盛著称
盯著	盯着
盯著作	盯著作
盯著名	盯著名
盯著稱	盯著称
看著	看着
看著作	看著作
看著名	看著名
看著稱	看著称
看著者	看著者
看著述	看著述
真人騷	真人秀
著業	着业
著絲	着丝
著麼	着么
著人	着人
著什	着什
著甚麼	着什么
著他	着他
著令	着令
著位	着位
著體	着体
著你	着你
著妳	着你
著便	着便
著涼	着凉
著力	着力
著勁	着劲
著號	着号
著呢	着呢
著哩	着哩
著地	着地
著墨	着墨
著聲	着声
著處	着处
著她	着她
著它	着它
著牠	着它
著定	着定
著實	着实
著己	着己
著帳	着帐
著床	着床
著庸	着庸
著式	着式
著心	着心
著志	着志
著忙	着忙
著急	着急
著惱	着恼
著驚	着惊
著想	着想
著意	着意
著慌	着慌
著我	着我
著手	着手
著抹	着抹
著摸	着摸
著撰	着撰
著數	着数
著明	着明
著末	着末
著極	着极
著格	着格
著棋	着棋
著氣	着气
著法	着法
著淺	着浅
著火	着火
著然	着然
著甚	着甚
著生	着生
著疑	着疑
著白	着白
著相	着相
著眼	着眼
著著	着着
著祂	着祂
著積	着积
著稿	着稿
著筆	着笔
著籍	着籍
著緊	着紧
著緑	着緑
著絆	着绊
著績	着绩
著緋	着绯
著綠	着绿
著肉	着肉
著腳	着脚
著艦	着舰
著色	着色
著節	着节
著花	着花
著莫	着莫
著落	着落
著槁	着藁
著衣	着衣
著裝	着装
著要	着要
著警	着警
著趣	着趣
著邊	着边
著迷	着迷
著跡	着迹
著重	着重
著録	着録
著聞	着闻
著陸	着陆
著雝	着雝
