PN接面	PN结
卢安达	卢旺达
目的码	目标代码
直译器	解释器
相容	兼容
相簿	相册
真实模式	实模式
矽	硅
硬碟	硬盘
硬体	硬件
碟片	盘片
碟符	盘符
磁碟	磁盘
磁轨	磁道
社区	社区
社羣	社区
程序	进程
程序导向	面向过程
程序式程式设计	过程式编程
程式	程序
程式码	代码
程式设计	编程
程式设计师	程序员
程式语言	编程语言
稽覈	审覈
积体电路	集成电路
空间多工	空分复用
突尼西亚	突尼斯
笨猪跳	蹦极
简报	演示文稿
简讯	短信
粘贴	粘贴
纽西兰	新西兰
索罗门羣岛	所罗门羣岛
索马利亚	索马里
终端使用者	最终用户
组合语言	汇编语言
组译	汇编
维德角	佛得角
网咖	网吧
网路	网络
网路上的芳邻	网上邻居
网际网路	互联网
线上	在线
缩图	缩略图
缩排	缩进
系结	绑定
义大利	意大利
圣克里斯多福及尼维斯	圣基茨和尼维斯
圣文森及格瑞那丁	圣文森特和格林纳丁斯
圣露西亚	圣卢西亚
圣马利诺	圣马力诺
肯亚	肯尼亚
膝上型电脑	笔记本电脑
茅利塔尼亚	毛里塔尼亚
莫三比克	莫桑比克
菜单	菜单
万那杜	瓦努阿图
叶门	也门
葛摩	科摩罗
蒲隆地	布隆迪
盖亚那	圭亚那
蓝芽	蓝牙
苏利南	苏里南
虚拟函式	虚函数
虚拟机器	虚拟机
虚拟码	伪代码
萤幕	屏幕
行内函数	内联函数
行动式	便携式
行动硬碟	移动硬盘
行动通讯	移动通信
行动电话	移动电话
衣索比亚	埃塞俄比亚
表示式	表达式
装置	设备
覈取按钮	复选按钮
覈取方块	复选框
视窗	窗口
视觉化	可视化
视讯	视频
视讯记忆体	显存
解析度	分辨率
解构函式	析构函数
解除安装	卸载
触控式萤幕	触摸屏
计程车	出租车
讯息	消息
讯号	信号
讯杂比	信噪比
访问	访问
设定	设置
许可权	权限
调色盘	调色板
调变	调制
诺鲁	瑙鲁
变数	变量
象牙海岸	科特迪瓦
贝南	贝宁
贝里斯	伯利兹
贴上	粘贴
资料	数据
资料来源	数据源
资料仓储	数据仓库
资料包	数据报
资料夹	文件夹
资料库	数据库
资料探勘	数据挖掘
资讯	信息
资讯保安	信息安全
资讯理论	信息论
资讯科技	信息技术
资讯长	首席信息官
宾士	奔驰
赖比瑞亚	利比里亚
赖索托	莱索托
超程式设计	元编程
软碟机	软驱
软体	软件
载入	加载
载入程式	引导程序
辛巴威	津巴布韦
迦纳	加纳
回圈	循环
通讯	通信
通道	信道
速食面	方便面
连结	链接
连结串列	链表
连线	连接
进位制	进制
进程	进程
进阶	高端 高级
运算元	算子
过载	重载
递回	递归
远端	远程
遮蔽	屏蔽
选单	菜单
逻辑闸	逻辑门
那杜	温纳图万
部落格	博客
都会网路	城域王
释出	发布
重新命名	重命名
重新整理	刷新
重灌	重装
金氧半导体	金属氧化物半导体
金钥	密钥
录影	录像
镭射	激光
开启	打开
闸流体	晶闸管
闸道器	网关
闸电路	门电路
关联式资料库	关系数据库
防写	写保护
防毒	杀毒
阿拉伯联合大公国	阿拉伯联合酋长国
阵列	数组
杂凑	哈希 散列
离线	脱机
云端储存	云存储
云端计算	云计算
电脑保安	计算机安全
电脑科学	计算机科学
非同步	异步
面板	皮肤
音效卡	声卡
音讯	音频
页尾	页脚
页首	页眉
预设	缺省
预设值	默认值
频宽	带宽
类别范本	类模板
类比	模拟
类比电子	模拟电子
类比电路	模拟电路
显示卡	显卡
马利共和国	马里共和国
马尔地夫	马尔代夫
高级	高级
高阶	高端 高级
点选	点击
点阵图	位图
