㑮	𫝈
傖	伧
傘	伞
備	备
傚	效
傢	家
傪	𫢺
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
傾	倾
僂	偻
僅	仅
僆	𫢪
僉	佥
僑	侨
僕	仆
僗	𫢬
僞	伪
僤	𫢸
僥	侥
僨	偾
僭	僣
僱	雇
價	价
僾	𫣊
儀	仪
儁	俊
儂	侬
億	亿
儅	当
儈	侩
儉	俭
儎	傤
儐	傧
儔	俦
儕	侪
儘	尽 侭
償	偿
儣	𠆲
優	优
儭	𠋆
儰	𫢭
儲	储
儷	俪
儸	㑩 罗
儺	傩
儻	傥
儼	俨
兇	凶
兌	兑
兒	儿
兗	兖
內	内
兩	两
冊	册
冑	胄
冪	幂
凈	净
凍	冻
凙	𪞝
凜	凛
凱	凯
別	别
刪	删
剄	刭
則	则
剋	克
剎	刹
剗	刬
剛	刚
剝	剥
剮	剐
剴	剀
創	创
剷	铲
剾	𠛅
劃	划 㓰
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劏	㓥
劑	剂
劗	𭄛
劚	㔉
勁	劲
勑	𠡠
動	动
勗	勖
務	务
勛	勋
勝	胜
勞	劳
勢	势
勣	绩 𪟝
勦	剿
勩	勚
勱	劢
勳	勋
勵	励
勸	劝
勻	匀
匭	匦
匯	汇
匱	匮
區	区
協	协
卨	𫧯
卹	恤
卻	却
卽	即
厙	厍
厠	厕
厤	历
厭	厌
厲	厉
厴	厣
參	参
叄	叁
叢	丛
吒	咤
吳	吴
吶	呐
呂	吕
咼	呙
員	员
哯	𠯟
唄	呗
唓	𪠳
唚	吣
唸	念
唻	𫪁
問	问
啓	启
啞	哑
啟	启
啢	唡
喎	㖞
喚	唤
喪	丧
喫	吃
喬	乔
單	单
喲	哟
嗆	呛
嗇	啬
嗊	唝
嗎	吗
嗚	呜
嗩	唢
嗰	𠮶
嗶	哔
嗹	𪡏
嘄	𫪧
嘆	叹
嘍	喽
嘓	啯
嘔	呕
嘖	啧
嘗	尝
嘜	唛
嘩	哗
嘪	𪡃
嘮	唠
嘯	啸
嘰	叽
嘳	𪡞
嘵	哓
嘸	呒
嘺	𪡀
嘽	啴
噁	恶 𫫇
噅	𠯠
噓	嘘
噚	㖊
噝	咝
噞	𪡋
噠	哒
噣	𫩮
噥	哝
噦	哕
噯	嗳
噲	哙
噴	喷
噸	吨
噹	当 𪠽
嚀	咛
嚇	吓
嚈	𫩫
嚌	哜
嚍	𫩺
嚐	尝
嚕	噜
嚙	啮
嚛	𪠸
嚠	𭇯
嚥	咽
嚦	呖
嚧	𠰷
嚨	咙
嚪	𫫦
嚬	𫫾
嚮	向
嚲	亸
嚳	喾
嚴	严
嚶	嘤
嚽	𪢕
嚿	𫩥
囀	啭
囁	嗫
囂	嚣
囃	𠱞
囅	冁
囇	𫪃
囈	呓
囉	啰
囌	苏
囑	嘱
囒	𫩪
囪	囱
圇	囵
國	国
圍	围
園	园
圓	圆
圖	图
團	团
圞	𪢮
垵	埯
埡	垭
埬	𪣆
埰	采
執	执
堅	坚
堊	垩
堖	垴
堚	𪣒
堝	埚
堯	尧
報	报
場	场
塊	块
塋	茔
塏	垲
塒	埘
塗	涂
塚	冢
塢	坞
塤	埙
塵	尘
塸	𫭟
塹	堑
塼	𫭞
塿	𪣻
墊	垫
墋	𫮅
墜	坠
墝	𫭪
墠	𫮃
墢	𫭨
墮	堕
墰	坛
墲	𪢸
墳	坟
墶	垯
墻	墙
墾	垦
壇	坛
壈	𡒄
壋	垱
壎	埙
壓	压
壗	𡋤
壘	垒
壙	圹
壚	垆
壜	坛
壞	坏
壟	垄
壠	垅
壢	坜
壣	𪤚
壧	𫭲
壩	坝
壪	塆
壯	壮
壺	壶
壼	壸
壽	寿
夠	够
夢	梦
夥	伙
夾	夹
奐	奂
奧	奥
奩	奁
奪	夺
奫	𫯶
奬	奖
奮	奋
奲	𫰂
奼	姹
妝	妆
姍	姗
姦	奸
娙	𫰛
娛	娱
婁	娄
婜	𫰐
婡	𫝫
婣	𫰿
婦	妇
婭	娅
媁	𫰍
媈	𫝨
媧	娲
媯	妫
媰	㛀
媼	媪
媽	妈
嫋	袅
嫗	妪
嫢	𫰹
嫵	妩
嫺	娴
嫻	娴
嫿	婳
嬀	妫
嬃	媭
嬅	𫰡
嬇	𫝬
嬈	娆
嬋	婵
嬌	娇
嬐	𫰰
嬒	𫰢
嬙	嫱
嬡	嫒
嬣	𪥰
嬤	嬷
嬦	𫝩
嬪	嫔
嬰	婴
嬸	婶
嬻	𪥿
孃	娘
孄	𫝮
孆	𫝭
孇	𪥫
孋	㛤
孌	娈
孎	𡠟
孫	孙
學	学
孻	𡥧
孾	𪧀
孿	孪
宮	宫
寀	采
寠	𪧘
寢	寝
實	实
寧	宁
審	审
寫	写
寬	宽
寵	宠
寶	宝
將	将
專	专
尋	寻
對	对
導	导
尷	尴
屆	届
屍	尸
屓	屃
屜	屉
屢	屡
層	层
屨	屦
屩	𪨗
屬	属
屭	屃
岡	冈
峯	峰
峴	岘
島	岛
峽	峡
崍	崃
崑	昆
崗	岗
崙	仑 𪨧
崠	岽
崢	峥
崬	岽
崵	𫵵
嵐	岚
嵒	岩
嵗	岁
嵼	𡶴
嵽	𫶇
嵾	㟥
嶁	嵝
嶄	崭
嶇	岖
嶈	𡺃
嶔	嵚
嶗	崂
嶘	𡺄
嶠	峤
嶢	峣
嶧	峄
嶨	峃
嶮	崄
嶴	岙
嶸	嵘
嶹	𫝵
嶺	岭
嶼	屿
嶽	岳
巊	𪩎
巋	岿
巒	峦
巔	巅
巖	岩
巗	𪨷
巘	𪩘
巰	巯
巹	卺
帥	帅
師	师
帳	帐
帶	带
幀	帧
幃	帏
幓	㡎
幗	帼
幘	帻
幝	𪩷
幟	帜
幣	币
幩	𪩸
幫	帮
幬	帱
幹	干
幺	么
幾	几
座	坐
庫	库
庲	𫷬
廁	厕
廂	厢
廄	厩
廈	厦
廎	庼
廔	𫷹
廕	荫 𫷮
廙	𫷩
廚	厨
廝	厮
廞	𫷷
廟	庙
廠	厂
廡	庑
廢	废
廣	广
廧	𪪞
廩	廪
廬	庐 𪪏
廮	𫷾
廳	厅
弒	弑
弔	吊
弳	弪
張	张
強	强
彃	𪪼
彄	𫸩
彆	别
彈	弹
彌	弥
彎	弯
彔	录
彙	汇
彞	彝
彠	彟
彥	彦
彫	雕
彲	彨
彷	彷 仿
彿	佛
後	后
徑	径
從	从
徠	徕
復	复
徵	征 徵
徹	彻
徿	𪫌
恆	恒
恥	耻
悅	悦
悏	𫺂
悞	悮
悵	怅
悶	闷
悽	凄
惡	恶
惱	恼
惲	恽
惻	恻
愇	𫹴
愛	爱
愜	惬
愨	悫
愩	𫺌
愴	怆
愷	恺
愻	𢙏
愾	忾
慄	栗
態	态
慍	愠
慘	惨
慚	惭
慟	恸
慣	惯
慤	悫
慪	怄
慫	怂
慮	虑
慯	𫹽
慳	悭
慶	庆
慺	㥪
慼	戚
慾	欲
憂	忧
憊	惫
憐	怜
憑	凭
憒	愦
憖	慭
憚	惮
憢	𢙒
憤	愤
憦	𫺘
憫	悯
憮	怃
憲	宪
憶	忆
憸	𪫺
憹	𢙐
懀	𢙓
懇	恳
應	应
懌	怿
懍	懔
懎	𢠁
懓	𭞄
懞	蒙
懟	怼
懠	𫺊
懢	𪬌
懣	懑
懤	㤽
懨	恹
懩	𫺪
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
懾	慑
戀	恋
戁	𫺷
戇	戆
戔	戋
戧	戗
戩	戬
戰	战 𢧐
戱	戯
戲	戏
戶	户
拋	抛
挩	捝
挱	挲
挾	挟
捨	舍
捫	扪
捱	挨
捲	卷
掃	扫
掄	抡
掆	㧏
掗	挜
掙	挣
掚	𪭵
掛	挂
採	采
揀	拣
揚	扬
換	换
揮	挥
揯	搄
揹	背
搊	𫼝
損	损
搖	摇
搗	捣
搵	揾
搶	抢
摀	捂
摃	𫼱
摋	𢫬
摌	𫼪
摐	𪭢
摑	掴
摙	𫽁
摜	掼
摟	搂
摥	𫼟
摪	𫽣
摯	挚
摳	抠
摶	抟
摺	折
摻	掺
撈	捞
撊	𪭾
撍	𭢗
撏	挦
撐	撑
撓	挠
撝	㧑
撟	挢
撣	掸
撥	拨
撧	𪮖
撫	抚
撲	扑
撳	揿
撶	𫼧
撻	挞
撾	挝
撿	捡
擁	拥
擃	𫼮
擄	掳
擇	择
擈	𭠙
擊	击
擋	挡
擓	㧟
擔	担
據	据
擟	𪭧
擠	挤
擡	抬
擣	捣 𢭏
擫	𢬍
擬	拟
擯	摈
擰	拧
擱	搁
擲	掷
擴	扩
擷	撷
擺	摆
擻	擞
擼	撸
擽	㧰
擾	扰
攄	摅
攆	撵
攋	𪮶
攏	拢
攑	𫽥
攔	拦
攖	撄
攙	搀
攛	撺
攜	携
攝	摄
攞	𫽋
攢	攒
攣	挛
攤	摊
攩	𫽮
攪	搅
攬	揽
敎	教
敓	敚
敗	败
敘	叙
敵	敌
數	数
斁	𭣧
斂	敛
斃	毙
斅	𢽾
斆	敩
斕	斓
斬	斩
斷	断
斸	𣃁
於	于 於
旂	旗
旣	既
昇	升
時	时
晉	晋
晛	𬀪
晝	昼
暈	晕
暉	晖
暐	𬀩
暘	旸
暟	𬀱
暢	畅
暫	暂
暱	昵
曄	晔
曆	历
曇	昙
曉	晓
曊	𪰶
曏	向 𬁠
曖	暧
曠	旷
曥	𣆐
曨	昽
曬	晒
曭	𭧋
書	书
會	会
朥	𦛨
朦	𬂓
朧	胧
朮	术
東	东
杴	锨
枴	拐
柵	栅
柺	拐
査	查
桱	𣐕
桿	杆
梔	栀
梖	𪱷
梘	枧
條	条
梟	枭
梱	捆
梲	棁
棄	弃
棊	棋
棖	枨
棗	枣
棟	栋
棡	㭎
棧	栈
棲	栖
棶	梾
椏	桠
椚	𭩛
椲	㭏
楇	𣒌
楊	杨
楓	枫
楨	桢
業	业
極	极
榘	矩
榦	干
榪	杩
榮	荣
榲	榅
榿	桤
構	构
槍	枪
槓	杠
槤	梿
槧	椠
槨	椁
槫	𣏢
槮	椮
槳	桨
槶	椢
槻	𬃀
槼	椝
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樞	枢
樠	𣗊
樢	㭤
樣	样
樤	𣔌
樧	𬂮
樫	㭴
樲	𬃘
樳	桪
樸	朴
樹	树
樺	桦
樻	𭫀
樿	椫
橃	𭩰
橅	𬂠
橈	桡
橋	桥
機	机
橢	椭
橫	横
橯	𣓿
檁	檩
檂	𬂰
檉	柽
檒	𮨴
檔	档
檛	𭪆
檜	桧
檟	槚
檢	检
檣	樯
檥	𭩚
檭	𣘴
檮	梼
檯	台
檳	槟
檵	𪲛
檷	𪱾
檸	柠
檻	槛
檾	苘
櫂	棹
櫃	柜
櫅	𪲎
櫍	𬃊
櫓	橹
櫚	榈
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫠	𪲮
櫥	橱
櫧	槠
櫨	栌
櫪	枥
櫫	橥
櫬	榇
櫱	蘖
櫳	栊
櫶	𬃫
櫸	榉
櫺	棂
櫻	樱
櫽	𬄩
欄	栏
欅	榉
欇	𪳍
權	权
欍	𣐤
欏	椤
欐	𪲔
欑	𪴙
欒	栾
欓	𣗋
欖	榄
欘	𣚚
欞	棂
欽	钦
歄	𬅥
歎	叹
歐	欧
歞	𪴯
歟	欤
歡	欢
歲	岁
歷	历
歸	归
歿	殁
殘	残
殞	殒
殢	𣨼
殤	殇
殨	㱮
殫	殚
殭	僵
殮	殓
殯	殡
殰	㱩
殲	歼
殺	杀
殻	壳
殼	壳
毀	毁
毄	𬆦
毆	殴
毊	𪵑
毚	𫥎
毿	毵
氂	牦
氈	毡
氌	氇
氣	气
氫	氢
氬	氩
氭	𣱝
氳	氲
氾	泛
汎	泛
汙	污
決	决
沈	沈 沉
沒	没
沖	冲
況	况
泝	溯
洩	泄
洶	汹
浹	浃
浿	𬇙
涇	泾
涗	涚
涼	凉
淒	凄
淚	泪
淥	渌
淨	净
淩	凌
淪	沦
淵	渊
淶	涞
淺	浅
渙	涣
減	减
渢	沨
渦	涡
測	测
渾	浑
湊	凑
湋	𣲗
湞	浈
湧	涌
湯	汤
溈	沩
準	准
溝	沟
溡	𪶄
溫	温
溮	浉
溳	涢
溼	湿
滄	沧
滅	灭
滌	涤
滎	荥
滙	汇
滬	沪
滯	滞
滲	渗
滷	卤
滸	浒
滻	浐
滾	滚
滿	满
漁	渔
漊	溇
漍	𬇹
漙	𬇘
漚	沤
漢	汉
漣	涟
漬	渍
漲	涨
漵	溆
漸	渐
漿	浆
潁	颍
潑	泼
潔	洁
潕	𣲘
潙	沩
潚	㴋
潛	潜
潣	𫞗
潤	润
潬	𬈁
潯	浔
潰	溃
潷	滗
潿	涠
澀	涩
澅	𣶩
澆	浇
澇	涝
澐	沄
澒	𭱊
澗	涧
澠	渑
澢	𭰎
澤	泽
澦	滪
澩	泶
澫	𬇕
澬	𫞚
澮	浍
澱	淀
澳	𪶓
澾	㳠
濁	浊
濃	浓
濄	㳡
濆	𣸣
濇	𬈧
濔	沵
濕	湿
濘	泞
濚	溁
濛	蒙
濜	浕
濟	济
濤	涛
濦	𬈬
濧	㳔
濫	滥
濰	潍
濱	滨
濺	溅
濼	泺
濾	滤
濿	𪵱
瀂	澛
瀃	𣽷
瀅	滢
瀆	渎
瀇	㲿
瀉	泻
瀋	沈 渖
瀏	浏
瀕	濒
瀘	泸
瀝	沥
瀟	潇
瀠	潆
瀢	𬉋
瀦	潴
瀧	泷
瀨	濑
瀩	𬉏
瀰	弥 㳽
瀲	潋
瀵	𬉂
瀾	澜
灃	沣
灄	滠
灆	𪷞
灍	𫞝
灑	洒
灒	𪷽
灕	漓
灘	滩
灙	𣺼
灝	灏
灟	𭲫
灠	漤
灡	㳕
灣	湾
灤	滦
灧	滟
灩	滟
災	灾
為	为
烏	乌
烴	烃
焛	𬮟
無	无
煇	𪸩
煉	炼
煒	炜
煙	烟
煢	茕
煥	焕
煩	烦
煬	炀
煱	㶽
煼	𬊂
熂	𪸕
熅	煴
熉	𤈶
熌	𤇄
熒	荧
熓	𤆡
熕	𬊎
熗	炝
熚	𤇹
熡	𤋏
熰	𬉼
熱	热
熲	颎
熾	炽
燀	𬊤
燁	烨
燈	灯
燉	炖
燒	烧
燖	𬊈
燘	𬊖
燙	烫
燜	焖
營	营
燦	灿
燬	毁
燭	烛
燰	𬊺
燴	烩
燵	𬊉
燶	㶶
燻	熏
燼	烬
燽	𬊍
燾	焘
爁	𬊶
爃	𫞡
爄	𤇃
爇	𦶟
爍	烁
爐	炉
爖	𤇭
爛	烂
爣	𬊵
爥	𪹳
爧	𫞠
爭	争
爲	为
爺	爷
爾	尔
爿	丬
牀	床
牆	墙
牘	牍
牠	它
牴	牴 抵
牽	牵
犓	𬌝
犖	荦
犛	牦
犞	𪺭
犢	犊
犧	牺
狀	状
狹	狭
狽	狈
猌	𪺽
猙	狰
猶	犹
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
獊	𪺷
獎	奖
獟	𬌮
獨	独
獩	𤞃
獪	狯
獫	猃
獮	狝
獰	狞
獱	㺍
獲	获
獵	猎
獷	犷
獸	兽
獺	獭
獻	献
獼	猕
玀	猡
玁	𤞤
珼	𫞥
現	现
琖	𬍙
琱	雕
琺	珐
琿	珲
瑋	玮
瑒	玚
瑠	𭹗
瑣	琐
瑤	瑶
瑩	莹
瑪	玛
瑯	琅
瑲	玱
瑻	𪻲
瑽	𪻐
璉	琏
璊	𫞩
璕	𬍤
璗	𬍡
璝	𪻺
璡	琎
璣	玑
璦	瑷
璫	珰
璯	㻅
環	环
璵	玙
璸	瑸
璺	𭸼
璼	𫞨
璽	玺
璾	𫞦
璿	璇
瓄	𪻨
瓅	𬍛
瓊	琼
瓏	珑
瓓	𬎑
瓔	璎
瓕	𤦀
瓚	瓒
瓛	𤩽
甌	瓯
甕	瓮
產	产
産	产
甦	苏
甯	宁
畝	亩
畢	毕
畫	画 划
異	异
畵	画
當	当
畼	𪽈
疇	畴
疊	叠
痙	痉
痠	酸
痮	𪽪
痾	疴
瘂	痖
瘋	疯
瘍	疡
瘑	𬏮
瘒	𬏫
瘓	痪
瘞	瘗
瘡	疮
瘧	疟
瘮	瘆
瘱	𪽷
瘲	疭
瘺	瘘
瘻	瘘
療	疗
癆	痨
癇	痫
癈	𬏦
癉	瘅
癐	𤶊
癒	愈
癘	疠
癟	瘪
癡	痴
癢	痒
癤	疖
癥	症
癧	疬
癩	癞
癬	癣
癭	瘿
癮	瘾
癰	痈
癱	瘫
癲	癫
發	发
皁	皂
皚	皑
皟	𤾀
皰	疱
皸	皲
皺	皱
盃	杯
盜	盗
盞	盏
盡	尽
監	监
盤	盘
盧	卢
盨	𪾔
盪	荡
眝	𪾣
眞	真
眥	眦
眾	众
睍	𪾢
睏	困
睜	睁
睞	睐
睴	𬑕
睾	睪 睾
瞘	眍
瞜	䁖
瞞	瞒
瞤	𥆧
瞭	了 瞭
瞱	𬑓
瞶	瞆
瞷	𬑗
瞼	睑
矇	蒙
矉	𪾸
矑	𪾦
矓	眬
矚	瞩
矯	矫
砲	炮
硃	朱
硜	硁
硤	硖
硨	砗
硯	砚
碕	埼
碙	𥐻
碩	硕
碭	砀
碸	砜
確	确
碼	码
碽	䂵
磑	硙
磒	𬒍
磚	砖
磠	硵
磣	碜
磧	碛
磯	矶
磱	𮀤
磽	硗
磾	䃅
礄	硚
礆	硷
礎	础
礏	𬒆
礒	𥐟
礙	碍
礜	𪿝
礦	矿
礪	砺
礫	砾
礬	矾
礮	𪿫
礱	砻
祇	祇 只
祕	秘
祿	禄
禍	祸
禎	祯
禕	祎
禡	祃
禦	御
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
秈	籼
稅	税
稈	秆
稏	䅉
稜	棱
稟	禀
種	种
稱	称
穀	谷
穇	䅟
穌	稣
積	积
穎	颖
穠	秾
穡	穑
穢	秽
穨	𬓼
穩	稳
穫	获
穭	穞 稆
窩	窝
窪	洼
窮	穷
窯	窑
窵	窎
窶	窭
窺	窥
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
竚	𥩟
竪	竖
竱	𫁟
競	竞
筆	笔
筍	笋
筧	笕
筴	䇲
箇	个
箋	笺
箏	筝
箠	棰
節	节
範	范
築	筑
篋	箧
篔	筼
篘	𥬠
篠	筿
篢	𬕂
篤	笃
篩	筛
篳	筚
篸	𥮾
簀	箦
簂	𫂆
簍	篓
簑	蓑
簞	箪
簡	简
簢	𫂃
簣	篑
簫	箫
簹	筜
簽	签
簾	帘
籃	篮
籅	𥫣
籋	𥬞
籌	筹
籔	䉤
籙	箓
籛	篯
籜	箨
籟	籁
籠	笼
籣	𮆏
籤	签
籩	笾
籪	簖
籫	𬖃
籬	篱
籭	𬕄
籮	箩
籲	吁
粯	𬖑
粵	粤
粹	𬖚
糉	粽
糝	糁
糞	粪
糧	粮
糮	𬖮
糰	团
糲	粝
糴	籴
糶	粜
糹	纟
糺	𫄙
糾	纠
紀	纪
紂	纣
紃	𬘓
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
紌	𬘕
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸
級	级
紛	纷
紜	纭
紝	纴
紞	𬘘
紟	𫄛
紡	纺
紩	𮉢
紬	䌷
紮	扎
細	细
紱	绂
紲	绁
紳	绅
紵	纻
紶	𬘛
紹	绍
紺	绀
紼	绋
紾	𬘝
紿	绐
絀	绌
絁	𫄟
終	终
絃	弦
組	组
絅	䌹
絆	绊
絍	纴
絎	绗
結	结
絓	𮉤
絕	绝
絖	𬘢
絙	𫄠
絚	𫄠
絛	绦
絝	绔
絞	绞
絟	𬘥
絠	𬘠
絡	络
絢	绚
絤	𬘟
絥	𫄢
給	给
絧	𫄡
絨	绒
絪	𬘡
絰	绖
統	统
絲	丝
絳	绛
絶	绝
絸	𬘖
絹	绢
絺	𫄨
絽	𬘤
綀	𦈌
綁	绑
綃	绡
綄	𬘫
綆	绠
綇	𦈋
綈	绨
綉	绣
綋	𫟄
綌	绤
綎	𬘩
綏	绥
綐	䌼
綑	捆
經	经
綕	𬘨
綖	𫄧
綜	综
綝	𬘭
綞	缍
綟	𫄫
綠	绿
綡	𫟅
綢	绸
綣	绻
綧	𬘯
綪	𬘬
綫	线
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	彩 䌽
綷	𮉬
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緅	𮉪
