0余	0餘
一箭双雕	一箭雙鵰
一般	一般
一般只	一般只
一里	一里
一里余	一里餘
一赞	一讚
一锅	一鍋
一锅面	一鍋麵
一面	一面
一点	一點
一点丑	一點醜
丁当	叮噹
丁铃	叮鈴
七只	七隻
七天	七天
七天后	七天後
七海	七海
七海里	七海里
七海里面	七海裡面
七里	七里
七里余	七里餘
七面	七面
丈余	丈餘
三个	三個
三只	三隻
三周	三週
三叹	三歎
三国	三國
三国志	三國志
三天	三天
三海	三海
三海里	三海里
三里	三里
三里余	三里餘
三丰	三丰
上准	上準
上周	上週
上布	上佈
上折	上摺
上梁	上樑
上梁山	上梁山
上冲	上衝
上冲刷	上沖刷
上冲水	上沖水
上冲洗	上沖洗
上冲凉	上沖涼
上冲澡	上沖澡
上签	上籤
下台	下台
下咽	下嚥
下摆	下襬
下梁	下樑
下冲	下衝
下签	下籤
下里	下里
不丑	不醜
不并	不併
不余	不餘
不修	不修
不修篇幅	不修邊幅
不值	不值
不值一晒	不值一哂
不大	不大
不大象	不大像
不寒	不寒
不寒而栗	不寒而慄
不干	不干
不干不净	不乾不淨
不干他	不干他
不干休	不干休
不干你	不干你
不干她	不干她
不干我	不干我
不干扰	不干擾
不干政	不干政
不干杯	不乾杯
不干涉	不干涉
不干净	不乾淨
不干系	不干係
不干脆	不乾脆
不乾着急	不乾著急
不干裂	不乾裂
不干预	不干預
不愈	不癒
不斗	不鬥
不断	不斷
不断发展	不斷發展
不方	不方
不方便	不方便
不松	不松
不松下	不鬆下
不涂	不塗
不当	不當
不当准	不當準
不系	不繫
不能	不能
不能干	不能干
不能象	不能象
不能象征	不能象徵
不舍	不捨
不要	不要
不要干	不要干
不要象	不要象
不象	不像
不赞	不讚
不采	不採
丑一	丑一
丑一点	醜一點
丑不	丑不
丑不丑	醜不醜
丑丑	醜醜
丑丫	丑丫
丑丫头	醜丫頭
丑丫鬟	醜丫鬟
丑也	丑也
丑也丑	醜也醜
丑事	醜事
丑人	醜人
丑似	醜似
丑俊	醜俊
丑八	丑八
丑八怪	醜八怪
丑八戒	醜八戒
丑剧	醜劇
丑化	醜化
丑名	醜名
丑女	醜女
丑如	醜如
丑婆	醜婆
丑妇	醜婦
丑媳	丑媳
丑媳妇	醜媳婦
丑家	丑家
丑家伙	醜傢伙
丑小	丑小
丑小子	醜小子
丑小鸭	醜小鴨
丑少	丑少
丑少年	醜少年
丑巴	丑巴
丑巴怪	醜巴怪
丑得	醜得
丑得象	醜得像
丑怪	醜怪
丑恶	醜惡
丑态	醜態
丑东	丑東
丑东西	醜東西
丑模	丑模
丑模样	醜模樣
丑样	醜樣
丑死	醜死
丑汉	醜漢
丑煞	丑煞
丑煞人	醜煞人
丑男	醜男
丑的	醜的
丑老	醜老
丑老头	醜老頭
丑闻	醜聞
丑声	醜聲
丑脸	醜臉
丑行	醜行
丑诋	醜詆
丑话	醜話
丑语	醜語
丑貌	醜貌
丑陋	醜陋
丑面	醜面
丑类	醜類
丑鬼	醜鬼
且斗	且斗
且斗且	且鬥且
世界	世界
世界杯	世界盃
丢丑	丟醜
丢了	丟了
丢了丑	丟了醜
并不	並不
并不并	併不併
并入	併入
并力	併力
并包	并包
并合	併合
并吞	併吞
并图	併圖
并拢	併攏
并案	併案
并叠	併疊
并发	並發
并发症	併發症
并砌	併砌
并科	併科
并肩	並肩
并肩子	併肩子
并肩干	並肩幹
并负	併負
并负责	並負責
并购	併購
并购买	並購買
并赃	併贓
并赃拿贼	併贓拿賊
并赃治罪	併贓治罪
并采	並採
并除	併除
并陇	併攏
中仑	中崙
中岳	中嶽
中布	中佈
中签	中籤
主干	主幹
久斗	久鬥
之余	之餘
之准	之準
之欲	之慾
之游	之遊
九只	九隻
九叹	九歎
九天	九天
九天后	九天後
九海	九海
九海里	九海里
九里	九里
九里余	九里餘
九面	九面
也没	也沒
也没干	也沒幹
也舍	也舍
也舍下	也捨下
也舍弃	也捨棄
也象	也像
乱斗	亂鬥
乱冲	亂衝
乱涂	亂塗
了准	了准
了准备	了準備
了准时	了準時
了准有	了準有
了准的	了準的
了准确	了準確
了如	了如
了如指掌	瞭如指掌
了望	瞭望
了然	瞭然
了然于胸	了然於胸
了若	了若
了若指掌	瞭若指掌
了解	瞭解
事也	事也
事也干	事也幹
事可	事可
事可干	事可幹
事好	事好
事好干	事好幹
事干	事幹
事干扰	事干擾
事干涉	事干涉
事干净	事乾淨
事干系	事幹係
事干脆	事乾脆
事干预	事干預
事情	事情
事情可干	事情可幹
事情好干	事情好幹
事情干	事情幹
事迹	事蹟
事都	事都
事都干	事都幹
事关	事關
二个	二個
二只	二隻
二天	二天
二天后	二天後
二手	二手
二手烟	二手菸
二撇	二撇
二撇胡	二撇鬍
二海	二海
二海里	二海里
二里	二里
二面	二面
互斗	互鬥
五只	五隻
五周	五週
五天	五天
五岳	五嶽
五海	五海
五海里	五海里
五里	五里
五里余	五里餘
五谷	五穀
五脏	五臟
些丑	些醜
些干	些干
些干头	些幹頭
些象	些像
亚里	亞里
交托	交託
交游	交遊
亦舍	亦舍
亦舍下	亦捨下
亦云	亦云
京沈	京瀋
亮丑	亮醜
人丑	人醜
人像	人像
人像征	人象徵
人干	人幹
人欲	人欲
人欲横流	人慾橫流
人游	人遊
人物	人物
人物志	人物誌
人象	人像
人赞	人讚
人云	人云
人云亦云	人云亦云
人云游	人云遊
人云集	人雲集
什幺	什麼
什幺女人	什麼女人
什锦	什錦
什锦面	什錦麵
什么	什麼
介系	介系
介系词	介係詞
介胄	介冑
仍斗	仍鬥
仍象	仍像
他不	他不
他不干渴	他不乾渴
他丑	他醜
他干	他幹
他干一杯	他乾一杯
他干儿子	他乾兒子
他干女儿	他乾女兒
他干扰	他干擾
他干涉	他干涉
他干净	他乾淨
他干爹	他乾爹
他干脆	他乾脆
他干预	他干預
他白	他白
他白干	他白幹
他象	他像
他象征战	他像征戰
付托	付託
仙后	仙后
仙游	仙遊
仙范	仙範
代征	代徵
代理	代理
令媛	令嬡
仰冲	仰衝
仿佛	彷彿
仿制	仿製
仿徉	彷徉
仿徨	徬徨
仿效	倣傚
休克	休克
伙伴	夥伴
伙同	夥同
伙夫	伙伕
伙众	夥眾
伙计	夥計
估不	估不
估不准	估不準
伴伙	伴夥
伴游	伴遊
伶敏	靈敏
伸卷	伸捲
伺奉	侍奉
似松	似松
似松实紧	似鬆實緊
但云	但云
低荡	低盪
低迥	低迴
住扎	住紮
占人	占人
占候	占候
占卜	占卜
占卦	占卦
占士	佔士
占士邦	占士邦
占梦	占夢
占射	占射
占拜	占拜
占断	占斷
占星	占星
占有	佔有
占有欲	佔有慾
占亲	占親
占课	占課
占身	占身
占风	佔風
占风使帆	占風使帆
占验	占驗
占凤	占鳳
余丈	餘丈
余下	餘下
余事	餘事
余人	餘人
余位	餘位
余低	餘低
余僇	餘僇
余僧	餘僧
余光	餘光
余光中	余光中
余刃	餘刃
余利	餘利
余剩	餘剩
余力	餘力
余劲	餘勁
余勇	餘勇
余势	餘勢
余匪	餘匪
余匹	餘匹
余只	餘隻
余名	餘名
余味	餘味
余地	餘地
余天	餘天
余姚	餘姚
余威	餘威
余子	餘子
余子碌碌	餘子碌碌
余字	餘字
余存	餘存
余孬	餘孬
余孽	餘孽
余寸	餘寸
余尺	餘尺
余年	餘年
余座	餘座
余廕	餘廕
余弦	餘弦
余怒	餘怒
余恨	餘恨
余息	餘息
余悸	餘悸
余情	餘情
余庆	餘慶
余愤	餘憤
余数	餘數
余日	餘日
余暇	餘暇
余晖	餘暉
余月	餘月
余杭	餘杭
余枝	餘枝
余桶	餘桶
余次	餘次
余款	餘款
余岁	餘歲
余殃	餘殃
余毒	餘毒
余气	餘氣
余水	餘水
余波	餘波
余海	余海
余海里	餘海里
余温	餘溫
余漏	餘漏
余沥	餘瀝
余烈	餘烈
余热	餘熱
余烬	餘燼
余物	餘物
余生	餘生
余亩	餘畝
余众	餘眾
余祸	餘禍
余粮	餘糧
余线	餘線
余缺	餘缺
余羹	餘羹
余者	餘者
余脉	餘脈
余兴	餘興
余荫	餘蔭
余裕	餘裕
余里	餘裡
余责	餘責
余贼	餘賊
余路	餘路
余载	餘載
余辉	餘輝
余辜	餘辜
余部	餘部
余钱	餘錢
余闲	餘閒
余震	餘震
余音	餘音
余韵	餘韻
余额	餘額
余风	餘風
余饭	餘飯
余香	餘香
余骑	餘騎
余点	餘點
余党	餘黨
佛历	佛曆
佛象	佛像
作准	作準
作奸	作奸
作奸犯科	作姦犯科
作崇	作祟
作废	作廢
作废后	作廢後
作的	作的
作的准	作的準
你丑	你醜
你干	你幹
你干一杯	你乾一杯
你干儿子	你乾兒子
你干女儿	你乾女兒
你干扰	你干擾
你干涉	你干涉
你干爹	你乾爹
你干脆	你乾脆
你干那杯	你乾那杯
你干预	你干預
你白	你白
你白干	你白幹
你象	你像
佩环	珮環
佩饰	珮飾
佳肴	佳餚
佳里	佳里
使心	使心
使心作幸	使心作倖
来干	來幹
来干扰	來干擾
来干旱	來乾旱
来干杯	來乾杯
来干枯	來乾枯
来干涉	來干涉
来干净	來乾淨
来干爽	來乾爽
来干脆	來乾脆
来干裂	來乾裂
来干预	來干預
来范	來範
来象	來像
例范	例範
侏罗	侏儸
仑背	崙背
供制	供製
依准	依準
依托	依託
侵并	侵併
侵范	侵範
便吃	便吃
便吃干	便吃乾
便松	便鬆
便象	便像
俊丑	俊醜
保不	保不
保不准	保不準
保准	保準
信托	信託
信缄	信箋
信而	信而
信而有征	信而有徵
修浚	修濬
修胡	修胡
修胡刀	修鬍刀
俯冲	俯衝
俱象	俱像
个象	個像
倍余	倍餘
倏松	倏鬆
们干	們幹
们干儿子	們干兒子
们干女儿	們干女兒
们干扰	們干擾
们干涉	們干涉
们干净	們干淨
们干爹	們干爹
们干脆	們干脆
们干预	們干預
倒仆	倒仆
倒卷	倒捲
倒象	倒像
倒霉	倒霉
倛丑	倛醜
借以	藉以
借口	藉口
借托	借託
借故	藉故
借机	藉機
借着	藉著
借词	藉詞
倦游	倦遊
值得	值得
值得一干	值得一幹
值得干	值得幹
假发	假髮
做了	做了
做出	做出
做出好戏	做齣好戲
做到	做到
做到象	做到像
停制	停製
停征	停徵
侧冲	側衝
偶象	偶像
偷梁	偷樑
傅里	傅裡
傅里叶	傅里葉
傍徨	徬徨
杰伦	杰倫
傒幸	傒倖
备注	備註
佣金	佣金
佣钱	佣錢
传布	傳佈
伤愈	傷癒
伤难	傷難
伤难愈	傷難癒
倾刻	頃刻
倾复	傾覆
偻罗	僂儸
仅余	僅餘
像征	象徵
像赞	像贊
像赞他	像讚他
像赞你	像讚你
像赞叹	像讚嘆
像赞她	像讚她
像赞我	像讚我
像赞扬	像讚揚
像赞美	像讚美
像赞许	像讚許
像赞誉	像讚譽
像赞赏	像讚賞
像赞颂	像讚頌
仆倒	仆倒
仆地	仆地
仆然	仆然
仆街	仆街
侥天	僥天
侥天之幸	僥天之悻
侥幸	僥倖
侥悻	僥倖
僵仆	僵仆
僵尸	殭屍
僵绳	韁繩
僵蚕	殭蠶
仪范	儀範
亿余	億餘
儆效	儆傚
俭朴	儉樸
儌幸	儌倖
儒子	儒子
儒子可教	孺子可教
优游	優遊
兀术	兀朮
元凶	元兇
元勋	元勛
充饥	充飢
充饥画饼	充饑畫餅
先奸	先姦
先干	先干
先干为敬	先乾為敬
光念	光唸
光致	光致
光致致	光緻緻
克克	剋剋
克剜	剋剜
克夫	剋夫
克扣	剋扣
克日	剋日
克星	剋星
克期	剋期
克死	剋死
克苦	刻苦
克薄	剋薄
克里	克里
克里斯多	克里斯多
克里斯托	克里斯托
免征	免徵
兜卷	兜捲
入伙	入夥
内函	內涵
内制	內製
内哄	內鬨
内斗	內鬥
内松	內松
内松外紧	內鬆外緊
内紧	內緊
内紧外松	內緊外鬆
内里	內裡
内脏	內臟
全台	全台
全日	全日
全日制	全日制
全里	全里
全象	全像
两个	兩個
两个中	兩個中
两制	兩制
两只	兩隻
两周	兩週
两天	兩天
两撇	兩撇
两撇胡	兩撇鬍
两海	兩海
两海里	兩海里
两里	兩里
两里余	兩里餘
八只	八隻
八周	八週
八天	八天
八天后	八天後
八字	八字
八字胡	八字鬍
八海	八海
八海里	八海里
八里	八里
八里余	八里餘
公余	公餘
公厘	公釐
公布	公佈
公干	公幹
公历	公曆
公里	公里
六只	六隻
六周	六週
六天	六天
六天后	六天後
六欲	六慾
六冲	六衝
六海	六海
六海里	六海里
六里	六里
六里余	六里餘
六须	六須
六须鲇	六鬚鯰
共制	共製
共御	共禦
共斗	共鬥
兵签	兵籤
其丑	其醜
其余	其餘
典范	典範
兼并	兼併
再丑	再醜
再制	再製
再卷	再捲
再干	再幹
再干一杯	再乾一杯
再斗	再鬥
再斗一斗	再鬥一鬥
再斗斗	再鬥鬥
再松	再鬆
再冲	再衝
再象	再像
冗余	冗餘
冬台	冬颱
冶游	冶遊
准不	准不
准不准备	準不準備
准不准确	準不準確
准不及	準不及
准不可	準不可
准不得	準不得
准不成	準不成
准不是	準不是
准不会	準不會
准不能	準不能
准且	准且
准且劲	準且勁
准些	準些
准以	准以
准以为	準以為
准倒	准倒
准倒霉	準倒霉
准备	準備
准儿	準兒
准准	準準
准到	準到
准则	準則
准博	准博
准博士	準博士
准叫	準叫
准叫你	準叫你
准可	準可
准司	准司
准司法	準司法
准吃	准吃
准吃亏	準吃虧
准噶	准噶
准噶尔	準噶爾
准外	准外
准外母	準外母
准外父	準外父
准够	準夠
准女	准女
准女婿	準女婿
准妈	准媽
准妈妈	準媽媽
准定	準定
准平	准平
准平原	準平原
准度	準度
准得	準得
准成	準成
准把	準把
准据	準據
准拟	準擬
准新	准新
准新娘	準新娘
准新郎	準新郎
准星	準星
准是	準是
准时	準時
准会	準會
准有	準有
准极	準極
准死	準死
准决	準決
准决斗	准決鬥
准决赛	準決賽
准没	準沒
准爸	准爸
准爸爸	準爸爸
准直	準直
准知	準知
准确	準確
准线	準線
准绳	準繩
准而	准而
准而快	準而快
准能	準能
准被	準被
准要	準要
准话	準話
准谱	准譜
准谱儿	準譜兒
准错	准錯
准错不了	準錯不了
准头	準頭
准点	準點
准！	準！
凛列	凜洌
凛栗	凜慄
凝干	凝乾
凯里	凱里
凶嫌	兇嫌
凶徒	兇徒
凶惧	兇懼
凶案	兇案
凶杀	兇殺
凶犯	兇犯
凶猛	兇猛
出丑	出醜
出了	出了
出了丑	出了醜
出个	出個
出个丑	出個醜
出槌	出鎚
出游	出遊
出的	出的
出的丑	出的醜
出籴	出糶
出过	出過
出过丑	出過醜
出电	出電
出电影	齣電影
函容	涵容
函复	函覆
函意	涵意
函数	函數
函洞	涵洞
函濡	涵濡
函煦	涵煦
函管	涵管
函义	涵義
函蓄	涵蓄
函盖	涵蓋
函蕴	涵蘊
函养	涵養
刀削	刀削
刀削面	刀削麵
分伙	分夥
分别	分別
分布	分佈
分象	分像
分道	分道
分道扬镖	分道揚鑣
分量	份量
分钟	分鐘
刑余	刑餘
初愈	初癒
初斗	初鬥
初斗然	初陡然
别干	別幹
别干扰	別干擾
别干杯	別乾杯
别干涉	別干涉
别干净	別乾淨
别干燥	別乾燥
别干爽	別乾爽
别干裂	別乾裂
别干预	別干預
别扭	彆扭
别扭来	別扭來
别拗	彆拗
别斗	別鬥
别气	彆氣
别脚	彆腳
别致	別緻
刨冰	鉋冰
刨刀	鉋刀
刨削	鉋削
刨子	鉋子
刨成	鉋成
刨花	鉋花
利欲	利慾
刮倒	颳倒
刮大	刮大
刮大风	颳大風
刮胡	刮鬍
刮胡刀	刮鬍刀
刮胡须	刮鬍鬚
刮起	颳起
刮须	刮鬚
刮风	颳風
制丹	製丹
制件	製件
制作	製作
制做	製做
制备	製備
制冰	製冰
制冷	製冷
制出	製出
制剂	製劑
制品	製品
制器	製器
制图	製圖
制成	製成
制播	製播
制材	製材
制毒	製毒
制法	製法
制为	製為
制炼	製煉
制片	製片
制版	製版
制程	製程
制糖	製糖
制纸	製紙
制药	製藥
制衣	製衣
制表	製表
制造	製造
制醋	製醋
制面	製麵
制面具	製面具
制革	製革
制鞋	製鞋
制馅	製餡
制盐	製鹽
刺不	刺不
刺不准	刺不準
刺准	刺準
刻象	刻像
刻象征服	刻像征服
剃发	剃髮
剃须	剃鬚
则象	則像
则象征战	則像征戰
则象征服	則像征服
则采	則採
锉刀	銼刀
锉工	銼工
锉平	銼平
削发	削髮
剌刀	刺刀
前仆	前僕
前仆后	前仆後
前冲	前衝
剩余	剩餘
剩肴	剩餚
剪彩	剪綵
剪发	剪髮
剪除	翦除
副丑	副丑
副丑相	副醜相
割舍	割捨
创制	創製
划不	劃不
划不来	劃不來
划来	划來
划去	划去
划单	劃單
划单人艇	划單人艇
划子	划子
划拳	划拳
划桨	划槳
划步	划步
划水	划水
划独	划獨
划算	划算
划舟	划舟
划船	划船
划艇	划艇
划双	劃雙
划双人	划雙人
划龙	划龍
剧斗	劇鬥
劈里	劈里
力干	力幹
力干扰	力干擾
力干政	力干政
力干涉	力干涉
力干预	力干預
力拼	力拚
力斗	力鬥
功勋	功勛
功亏	功虧
功亏一匮	功虧一簣
加上	加上
加卷	加捲
加涂	加塗
加里	加里
助理	助理
劫余	劫餘
劭雍	邵雍
劾系	劾繫
劲斗	勁鬥
勇斗	勇鬥
动荡	動盪
勘乱	戡亂
胜余	勝餘
劳力	勞力
劳力士表	勞力士錶
劳骚	牢騷
勤朴	勤樸
勋爵	勛爵
勋章	勛章
勋级	勛級
勾干	勾幹
包准	包準
包函	包涵
包卷	包捲
包扎	包紮
包谷	包穀
北回	北迴
北岳	北嶽
北极	北極
北极象	北極象
北冲	北衝
北游	北遊
北里	北里
匣钵	匣砵
匪干	匪幹
汇刊	彙刊
汇整	彙整
汇编	彙編
汇总	彙總
汇纂	彙纂
汇萃	薈萃
汇辑	彙輯
汇集	彙集
区别	區別
十余	十餘
十余只	十餘隻
十余里	十餘里
十分	十分
十分丑	十分醜
十分准	十分準
十分干	十分乾
十分的准	十分的準
十卷	十捲
十只	十隻
十周	十週
十天	十天
十海	十海
十海里	十海里
十里	十里
十里余	十里餘
十面	十面
千余	千餘
千余只	千餘隻
千余里	千餘里
千只	千隻
千层	千層
千层面	千層麵
千海	千海
千海里	千海里
千里	千里
千钧	千鈞
千钧一发	千鈞一髮
千锤	千錘
卅余	卅餘
升官	陞官
升平	昇平
升汞	昇汞
升泰	昇泰
升华	昇華
升迁	陞遷
升阳	昇陽
半只	半隻
半干	半乾
卒悉	窣窸
卒发	捽髮
卒草	捽草
卓约	卓約
卓约风姿	綽約風姿
南回	南迴
南岳	南嶽
南冲	南衝
南游	南遊
南里	南里
博斗	博鬥
卡里	卡里
卯上	卯上
卯上干	卯上幹
印制	印製
印象	印象
印象是	印象是
即像	即像
即像征服	即像征服
即像限制	即像限制
即象	即像
卷一	卷一
卷一卷	捲一捲
卷上	捲上
卷不	卷不
卷不起	捲不起
卷了	捲了
卷伏	捲伏
卷伴	捲伴
卷住	捲住
卷来	捲來
卷个	捲個
卷儿	捲兒
卷入	捲入
卷出	捲出
卷到	捲到
卷动	捲動
卷去	捲去
卷向	捲向
卷回	捲回
卷图	捲圖
卷土	捲土
卷土重来	捲土重來
卷好	捲好
卷射	捲射
卷尺	捲尺
卷往	捲往
卷得	捲得
卷心	捲心
卷心菜	捲心菜
卷成	捲成
卷拂	捲拂
卷扫	捲掃
卷拢	捲攏
卷旋	捲旋
卷曲	捲曲
卷款	捲款
卷毛	捲毛
卷浪	捲浪
卷涌	捲湧
卷滚	捲滾
卷烟	捲菸
卷发	捲髮
卷碎	捲碎
卷筒	捲筒
卷帘	捲簾
卷纸	捲紙
卷缩	捲縮
卷绕	捲繞
卷缠	捲纏
卷罩	捲罩
卷翘	捲翹
卷卧	捲臥
卷至	捲至
卷舌	捲舌
卷舞	捲舞
卷菸	捲菸
卷落	卷落
卷落叶	捲落葉
卷着	捲著
卷荡	捲蕩
卷衣	卷衣
卷衣袖	捲衣袖
卷袖	捲袖
卷裹	捲裹
卷袭	捲襲
卷走	捲走
卷起	捲起
卷身	捲身
卷轴	捲軸
卷逃	捲逃
卷进	捲進
卷过	捲過
卷铺	卷鋪
卷铺盖	捲鋪蓋
卷钢	捲鋼
卷开	捲開
卷须	捲鬚
卷风	捲風
卷飞	捲飛
却象	卻像
厄立	厄立
厄立特里	厄立特里
厘出	釐出
厘定	釐定
厘正	釐正
厘清	釐清
厘米	釐米
厘订	釐訂
去卷	去捲
去干	去幹
去干一杯	去乾一杯
去干了杯	去乾了杯
去干洗	去乾洗
去干净	去乾淨
去干耗	去乾耗
去乾着急	去乾著急
又丑	又醜
又咸	又鹹
又干	又幹
又干又	又乾又
又干又硬	又乾又硬
又干扰	又干擾
又干政	又干政
又干涉	又干涉
又干净	又乾淨
又干预	又干預
又斗	又鬥
又松	又鬆
又冲	又沖
又冲掉	又衝掉
又象	又像
又云	又云
反卷	反捲
反反	反反
反反复复	反反覆覆
反复	反覆
反朴	反朴
反朴归真	反璞歸真
反冲	反衝
取余	取餘
取准	取準
取舍	取捨
取谛	取締
受人	受人
受人之托	受人之託
受托	受託
受雇	受僱
口占	口占
口干	口乾
口干一	口幹一
口干什	口幹什
口干员	口幹員
口干掉	口幹掉
口干活	口幹活
口干着	口幹著
口干这	口幹這
口干那	口幹那
古朴	古樸
古法	古法
古法自制	古法自製
古迹	古蹟
古云	古云
另辟	另闢
只余	只餘
只兔	隻兔
只大	只大
只大老鼠	隻大老鼠
只字	隻字
只巨	只巨
只巨兽	隻巨獸
只影	隻影
只怪	只怪
只怪物	隻怪物
只怪兽	隻怪獸
只手	隻手
只招	只招
只招子	隻招子
只母	只母
只母老虎	隻母老虎
只涂	只塗
只牛	隻牛
只犬	隻犬
只狐	只狐
只狐狸	隻狐狸
只狗	隻狗
只狼	隻狼
只猛	只猛
只猛兽	隻猛獸
只猴	隻猴
只狮	隻獅
只畜	只畜
只畜生	隻畜生
只眼	隻眼
只羊	隻羊
只老	只老
只老狐狸	隻老狐狸
只老虎	隻老虎
只老鼠	隻老鼠
只声	只聲
只声不出	隻聲不出
只虎	隻虎
只蛋	隻蛋
只言	只言
只言片字	隻言片字
只言片语	隻言片語
只猪	隻豬
只猫	隻貓
只身	隻身
只身分	隻身份
只野	只野
只野兽	隻野獸
只鸡	隻雞
只马	隻馬
只骡	隻騾
只驴	隻驢
只鬼	隻鬼
只鸟	隻鳥
只凤	隻鳳
只鸭	隻鴨
只鹅	隻鵝
只鹰	隻鷹
只鹿	隻鹿
叫于	叫于
叮叮	叮叮
叮叮当当	叮叮噹噹
叮当	叮噹
可以	可以
可以干扰	可以干擾
可以干涉	可以干涉
可以干预	可以干預
可以象	可以像
可余	可餘
可干	可干
可干拭	可乾拭
可干擦	可乾擦
可干洗	可乾洗
可干湿	可乾濕
可干燥	可乾燥
可干衣	可乾衣
可干制	可乾製
可干饮	可乾飲
可紧	可緊
可紧可松	可緊可鬆
可象	可像
可象征战	可像征戰
可赞	可讚
可采	可採
台凳	檯凳
台制	台製
台子	檯子
台布	檯布
台布下	台佈下
台布告	台佈告
台布满	台佈滿
台布置	台佈置
台布署	台佈署
台布道	台佈道
台布防	台佈防
台干	台幹
台历	檯曆
台湾	台灣
台湾制	台灣製
台湾制定	台灣制定
台湾制度	台灣制度
台湾制订	台灣制訂
台灯	檯燈
台球	檯球
台钟	檯鐘
台面	檯面
台风	颱風
史迹	史蹟
右冲	右衝
叼扰	叨擾
叼难	刁難
吃不	吃不
吃不准	吃不準
吃准	吃準
吃完	吃完
吃完面	吃完麵
吃干	吃乾
吃干了	吃乾了
吃茶	喫茶
吃着	吃著
吃过	吃過
吃过面	吃過麵
吃面	吃麵
各干	各干
各干各	各幹各
合并	合併
合并不	合並不
合并且	合並且
合并非	合並非
合伙	合夥
合府	闔府
合斗	合鬥
合眼	闔眼
合第	闔第
吉占	吉占
吉里	吉里
吊信	弔信
吊取	弔取
吊古	弔古
吊唁	弔唁
吊问	弔問
吊喉	弔喉
吊丧	弔喪
吊场	弔場
吊奠	弔奠
吊孝	弔孝
吊客	弔客
吊影	弔影
吊念	弔念
吊慰	弔慰
吊文	弔文
吊旗	弔旗
吊书	弔書
吊死	吊死
吊死问疾	弔死問疾
吊民	弔民
吊民伐罪	弔民伐罪
吊祭	弔祭
吊系	吊繫
吊考	弔考
吊膀	吊膀
吊膀子	弔膀子
吊词	弔詞
吊诡	弔詭
吊贺	弔賀
吊钱	弔錢
同仇	同仇
同仇敌慨	同仇敵愾
同伙	同夥
同游	同遊
名字	名字
名字是于	名字是于
名迹	名蹟
后卫	後衛
吐干	吐乾
向准	向準
向午	晌午
向外	向外
向外冲	向外衝
向导	嚮導
向导游	嚮導遊
向往	嚮往
向后	向後
向后冲	向後衝
向应	嚮應
君子	君子
君子好求	君子好逑
吞并	吞併
吞咽	吞嚥
吟游	吟遊
吧台	吧檯
吮干	吮乾
吵斗	吵鬥
吸干	吸乾
吸得	吸得
吸得干干	吸得乾乾
吸烟	吸菸
吹卷	吹捲
吹干	吹乾
吹发	吹髮
吹胡	吹鬍
吹须	吹鬚
吕后	呂后
