㘓	𪢌
𩀨	𫕚
𩎖	𫖑
𩏂	𫖓
𩏠	𫖖
𩗓	𫗈
𩗴	𫗉
𩚩	𫗡
𩛌	𫗤
𩛡	𫗨
𩝽	𫗳
𩶁	𫚎
𩸄	𫚝
𩸡	𫚟
𩻗	𫚨
𩻬	𫚩
𩻮	𫚘
𩼶	𫚬
𩿤	𫛠
𪀖	𫛧
𪃒	𫛻
𪃧	𫛹
𪅂	𫜂
𪆷	𫛾
𪉸	𫜊
𪌜	𪽂
𪌭	𫜓
𪍠	𫜕
𪓰	𫜟
𪙏	𫜯
𫍘	𫍏
𫒡	𫓷
𫚖	𫚖
𫚗	𫚗
𫜦	𫜫
